id,value,unit
Km_SPC_37_cytosol,0.000557,CustomUnit("M")
Kis_SPC_1273_cytosol,0.000415,CustomUnit("M")
kcat,61,CustomUnit("swedgeone")
Km_A_SPC_37_Cell,0.00004,CustomUnit("M")
kcat,2.333333,CustomUnit("swedgeone")
Km_B_SPC_56_Cell,0.0011,CustomUnit("M")
kcatdivKm_B_SPC_56_Cell,2166.667,CustomUnit("Mwedgeoneswedgeone")
kcatKm_SPC_56_Cell,1500,CustomUnit("Mwedgeoneswedgeone")
kcat,2.366667,CustomUnit("swedgeone")
Km_SPC_56_Cell,0.0016,CustomUnit("M")
kcat,0,CustomUnit("")
Km_SPC_1292_Cell,0.00067,CustomUnit("M")
Km_SPC_38_cytoplasm,0.000078,CustomUnit("M")
Ki_SPC_1292_cytoplasm,0.0573,CustomUnit("M")
Km_SPC_1292_cytoplasm,0.0003,CustomUnit("M")
Vmax,0.00625,CustomUnit("molswedgeonegwedgeone")
Km_SPC_37_cytoplasm,0.00069,CustomUnit("M")
Ki_SPC_9941_Cell,0.0002,CustomUnit("M")
Km_SPC_56_Cell,1.3,CustomUnit("M")
Kiu_SPC_34_cytosol,0.0059,CustomUnit("M")
kcat_Km_SPC_56_Cell,4500,CustomUnit("Mwedgeoneswedgeone")
Km_SPC_56_Cell,0.00076,CustomUnit("M")
kcat,3.383333,CustomUnit("swedgeone")
kcat,1056.667,CustomUnit("swedgeone")
kcatdivKm_SPC_38_mitochondrion,15083330,CustomUnit("Mwedgeoneswedgeone")
Km_SPC_38_mitochondrion,0.00007,CustomUnit("M")
Vmax,0.001066688,CustomUnit("katgwedgeone")
KmA_SPC_38_Cell,0.00026,CustomUnit("M")
KmS_SPC_1292_Cell,0.0034,CustomUnit("M")
kcat,405,CustomUnit("swedgeone")
kcatdivKm_SPC_37_mitochondrion,405000,CustomUnit("Mwedgeoneswedgeone")
Km_SPC_37_mitochondrion,0.001,CustomUnit("M")
Kii_SPC_26700_Cell,0.0000000067,CustomUnit("M")
Kis_SPC_26700_Cell,0.0064,CustomUnit("M")
Vmax,0.0003516667,CustomUnit("molswedgeonegwedgeone")
Km_SPC_56_cytosol,0.233,CustomUnit("M")
Vmax,0.0000066668,CustomUnit("katgwedgeone")
Km_SPC_37_cytoplasm,0.00005,CustomUnit("M")
Km_SPC_56_Cell,0.028,CustomUnit("M")
kcat_Km_SPC_56_Cell,333.3333,CustomUnit("Mwedgeoneswedgeone")
kcat,9.583333,CustomUnit("swedgeone")
Km_SPC_37_Cell,0.000012,CustomUnit("M")
Ki_SPC_9941_Cell,0.0000002,CustomUnit("M")
kcat,0.4,CustomUnit("swedgeone")
Kcat_Km_SPC_56_Cell,0.75,CustomUnit("Mwedgeoneswedgeone")
kcat,4.9,CustomUnit("swedgeone")
Kis_SPC_35_cytosol,0.00319,CustomUnit("M")
Km_SPC_37_cytosol,0.0000363,CustomUnit("M")
Km_SPC_56_cytoplasm,0.00078,CustomUnit("M")
Ki_SPC_9941_Cell,0.000004,CustomUnit("M")
Km_SPC_56_Cell,0.005,CustomUnit("M")
kcat,0.45,CustomUnit("swedgeone")
Vmax,0.2,CustomUnit("molswedgeonemolwedgeone")
Ki_SPC_56_Cell,0.04,CustomUnit("M")
Km_SPC_56_Cell,0.00013,CustomUnit("M")
Km_SPC_38_mitochondrion,0.00006,CustomUnit("M")
kcatdivKm_SPC_38_mitochondrion,11083330,CustomUnit("Mwedgeoneswedgeone")
kcat,665,CustomUnit("swedgeone")
kcat,12,CustomUnit("swedgeone")
Kip_SPC_1292_cytosol,0.000644,CustomUnit("M")
Kp_SPC_1292_cytosol,0.00052,CustomUnit("M")
Kiq_SPC_38_cytosol,0.00000667,CustomUnit("M")
Kq_SPC_38_cytosol,0.00000665,CustomUnit("M")
Ki_SPC_5133_Cell,0.000069,CustomUnit("M")
